Bulan,,,,,,,,,,,,
,Suhu (°C),,,,,,,,,,,
,Minimum,,,,Rata-rata,,,,Maksimum,,,
,2017,,,,2017,,,,2017,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,19.5,-,-,-,26.1,-,-,-,32,-,-,-
Februari,20.3,-,-,-,25.7,-,-,-,31.6,-,-,-
Maret,19.4,-,-,-,25.9,-,-,-,32,-,-,-
April,20,-,-,-,25.9,-,-,-,31.6,-,-,-
Mei,19.8,-,-,-,26.2,-,-,-,31.8,-,-,-
Juni,18.4,-,-,-,25.6,-,-,-,31.2,-,-,-
Juli,18.4,-,-,-,25.5,-,-,-,30.9,-,-,-
Agustus,16.2,-,-,-,25.7,-,-,-,31.2,-,-,-
September,18.7,-,-,-,25.6,-,-,-,30.4,-,-,-
Oktober,18.6,-,-,-,24.9,-,-,-,30.6,-,-,-
November,19.3,-,-,-,25.2,-,-,-,31,-,-,-
Desember,20,-,-,-,26.2,-,-,-,31.6,-,-,-
