Bulan,,,,
,Jumlah Curah Hujan (mm),,,
,2019,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,231,288,408,246
Februari,269,277,428,441
Maret,223,231,211,297
April,299,671,463,368
Mei,243,312,167,126
Juni,26,138,62,0
Juli,13,53,35,0
Agustus,0,170,19,0
September,55,152,6,0
Oktober,84,382,180,0
November,271,330,144,68
Desember,315,553,321,384
