Bulan,,,,
,Jumlah Curah Hujan (mm),,,
,2018,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,191,-,-,-
Februari,239.3,-,-,-
Maret,292,-,-,-
April,297.6,-,-,-
Mei,123.9,-,-,-
Juni,33.4,-,-,-
Juli,0.3,-,-,-
Agustus,38.9,-,-,-
September,40.8,-,-,-
Oktober,124.8,-,-,-
November,483.2,-,-,-
Desember,323.5,-,-,-
