Bulan,,,,,,,,,,,,
,Suhu (°C),,,,,,,,,,,
,Minimum,,,,Rata-rata,,,,Maksimum,,,
,2021,,,,2021,,,,2021,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,19,21.5,17.4,23.1,23.3,25.2,20.5,26.2,30.4,31.9,26.6,33.4
Februari,20.2,21.1,17.2,22.7,22.6,24.6,19.8,25.3,30.6,33.4,27,33.4
Maret,19.2,20,18,22.5,23.6,25.9,21.5,26.7,32.2,34.2,28.2,34.2
April,18,21.3,17.9,22.7,23.8,26.7,21.4,27.8,31,33.6,27.4,34.7
Mei,18.4,21.2,18.4,22.4,24.1,26.8,22.4,28.1,31.4,33.8,29,34.7
Juni,18.2,20.8,17.8,22.3,23.5,25.8,21.4,27.2,31.2,33.2,28.2,34.4
Juli,15.6,19.3,16.2,20.5,23.1,26,21.4,27.2,31.8,33.4,28,36
Agustus,17.6,20.8,16.9,22.8,23.5,25.9,21.5,27.9,31,33.2,28.6,35.9
September,18.2,20.2,16,22.4,23.8,26.3,21.6,28.4,31.8,34,28.6,36.4
Oktober,18.8,20.8,17.5,23.1,23.8,26.4,21.8,28.9,32.2,34.1,28.6,37.6
November,19.1,21.4,18.3,22,23.4,26.4,21.7,27.3,30,34.1,27.6,35.1
Desember,19.4,20.4,17.8,23.4,23.7,26.1,21.3,27.1,31.6,34.2,27,34.5
