Bulan,,,,
,Jumlah Curah Hujan (mm),,,
,2017,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,-,-,-,23
Februari,-,-,-,24
Maret,-,-,-,27
April,-,-,-,27
Mei,-,-,-,18
Juni,-,-,-,17
Juli,-,-,-,14
Agustus,-,-,-,6
September,-,-,-,12
Oktober,-,-,-,24
November,-,-,-,24
Desember,-,-,-,20
